"country","area","sunshine_hours","consumption_twh","avg_land_i_procent","land_km2"
"New Caledonia",18280.00,2700.00,20.15,0.51,93.2280000000000000
"New Zealand",263310.00,1967.06,239.13,0.58,1527.1980000000000000
"Nicaragua",120340.00,2759.90,29.22,0.11,132.3740000000000000
"Niger",1266700.00,3203.20,10.35,0.00,0.00000000000000000000
"Nigeria",910770.00,2669.08,543.74,0.28,2550.1560000000000000
"North Korea",120410.00,2492.00,99.58,0.41,493.6810000000000000
"North Macedonia",25220.00,2339.00,33.53,0.71,179.0620000000000000
"Norway",364270.00,1373.33,553.08,1.38,5026.9260000000000000
"Oman",309500.00,3493.30,430.09,0.50,1547.5000000000000000
"Pakistan",770880.00,3108.52,936.70,0.49,3777.3120000000000000
"Palestine",6025.00,3200.00,20.53,1.33,80.1325000000000000
"Panama",74180.00,1743.50,117.78,1.14,845.6520000000000000
"Papua New Guinea",452860.00,2463.00,21.13,0.02,90.5720000000000000
"Paraguay",397300.00,2803.00,105.80,0.12,476.7600000000000000
"Peru",1280000.00,2281.65,343.82,0.15,1920.0000000000000000
"Philippines",298170.00,2103.10,609.21,1.21,3607.8570000000000000
"Poland",306100.00,1997.00,1143.45,2.34,7162.7400000000000000
"Portugal",91605.00,2770.00,263.46,1.30,1190.8650000000000000
"Puerto Rico",8870.00,2963.80,78.72,3.74,331.7380000000000000
"Qatar",11490.00,3600.00,616.21,18.62,2139.4380000000000000
"Romania",230080.00,2115.00,354.46,0.91,2093.7280000000000000
"Russia",16376870.00,1972.79,8691.99,0.34,55681.358000000000
"Rwanda",24670.00,1800.00,6.35,0.18,44.4060000000000000
"Saint Kitts and Nevis",260.00,3000.00,1.00,1.60,4.1600000000000000
"Saint Lucia",610.00,3000.00,2.44,1.67,10.1870000000000000
"Saint Vincent and the Grenadines",390.00,3000.00,0.86,0.92,3.5880000000000000
"Samoa",2780.00,3000.00,1.60,0.24,6.6720000000000000
"Saudi Arabia",2149690.00,3236.50,3221.73,0.58,12468.202000000000
"Senegal",192530.00,3146.00,42.28,0.09,173.2770000000000000
"Serbia",84090.00,2055.00,201.69,1.46,1227.7140000000000000
"Seychelles",460.00,2800.00,4.89,4.75,21.8500000000000000
"Sierra Leone",72180.00,1800.00,4.15,0.04,28.8720000000000000
"Singapore",718.00,2022.40,964.02,829.86,5958.3948000000000000
"Slovakia",48080.00,2038.00,186.63,2.38,1144.3040000000000000
"Slovenia",20136.00,1974.00,72.43,2.28,459.1008000000000000
"Solomon Is.",27990.00,2330.00,1.34,0.03,8.3970000000000000
"Somalia",627340.00,3103.00,3.71,0.00,0.00000000000000000000
"South Africa",1213090.00,3141.32,1348.08,0.44,5337.5960000000000000
"South Korea",97600.00,2196.65,3453.89,20.14,19656.640000000000
"South Sudan",631930.00,2841.30,7.87,0.01,63.1930000000000000
"Spain",499733.00,2832.50,1572.86,1.39,6946.2887000000000000
"Sri Lanka",61860.00,2500.00,99.31,0.80,494.8800000000000000
"Sudan",1868000.00,3559.55,105.81,0.02,373.6000000000000000
"Suriname",156000.00,2400.00,12.43,0.04,62.4000000000000000
"Sweden",407283.00,1782.50,597.50,1.03,4195.0149000000000000
"Switzerland",39509.00,1932.75,314.64,5.15,2034.7135000000000000
"Syria",183630.00,3200.00,117.44,0.25,459.0750000000000000
"Tajikistan",138790.00,2500.00,74.83,0.27,374.7330000000000000
"Tanzania",885800.00,3032.85,57.70,0.03,265.7400000000000000
"Thailand",510890.00,2175.03,1390.81,1.56,7969.8840000000000000
"Togo",54390.00,2579.95,9.65,0.09,48.9510000000000000
"Tonga",720.00,3000.00,0.71,0.41,2.9520000000000000
"Trinidad and Tobago",5130.00,3000.00,163.85,13.31,682.8030000000000000
"Tunisia",155360.00,3049.95,116.79,0.31,481.6160000000000000
"Turkey",769630.00,2333.80,1945.30,1.35,10390.005000000000
"Turkmenistan",469930.00,3200.00,444.95,0.37,1738.7410000000000000
"Tuvalu",30.00,3000.00,0.00,0.00,0.00000000000000000000
"Uganda",200520.00,2304.00,35.16,0.10,200.5200000000000000
"Ukraine",579400.00,1955.00,616.64,0.68,3939.9200000000000000
"United Arab Emirates",71020.00,3600.00,1425.92,6.97,4950.0940000000000000
"United Kingdom",241930.00,1441.67,1930.59,6.92,16741.556000000000
"United States of America",9147420.00,2827.62,26189.20,1.27,116172.234000000000
"Uruguay",175020.00,2481.40,62.76,0.18,315.0360000000000000
"Uzbekistan",440653.00,2823.90,584.52,0.59,2599.8527000000000000
"Vanuatu",12190.00,3000.00,0.94,0.03,3.6570000000000000
"Venezuela",882050.00,2895.30,703.17,0.34,2998.9700000000000000
